,Name,Political Affiliation at Appointment,Province / Territory,Appointed on the advice of,Term (yyyy.mm.dd),start_date,end_date,reason,diff_days,observed
422,"Elliott, John Campbell",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.01.29 - 1941.12.20  (Death),1940-01-29 00:00:00,1941-12-20 00:00:00,Death,691,True
423,"Ellis, John Valentine",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1900.09.03 - 1913.06.10  (Death),1900-09-03 00:00:00,1913-06-10 00:00:00,Death,4663,True
424,"Emerson, Clarence Vernon",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1957.10.12 - 1963.09.25  (Death),1957-10-12 00:00:00,1963-09-25 00:00:00,Death,2174,True
425,"Emmerson, Henry Read",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1949.06.25 - 1954.06.21  (Death),1949-06-25 00:00:00,1954-06-21 00:00:00,Death,1822,True
426,"Enverga, Jr., Tobias C.",Conservative Party of Canada,Ontario,"Harper, Stephen",2012.09.06 -,2012-09-06 00:00:00,2013-10-01 22:20:10.165196,,390,False
427,"Eudes, Raymond Pierre",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1968.04.08 - 1980.10.25  (Death),1968-04-08 00:00:00,1980-10-25 00:00:00,Death,4583,True
428,"Euler, William Daum",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.05.11 - 1961.07.15  (Death),1940-05-11 00:00:00,1961-07-15 00:00:00,Death,7735,True
429,"Everett, Douglas Donald",Liberal Party of Canada,Manitoba,"Pearson, Lester Bowles",1966.11.08 - 1994.01.20  (Resignation),1966-11-08 00:00:00,1994-01-20 00:00:00,Resignation,9935,True
430,"Ewasew, John",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.17 - 1978.03.26  (Death),1976-12-17 00:00:00,1978-03-26 00:00:00,Death,464,True
431,"Eyton, John Trevor",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1990.09.23 - 2009.07.12  (Retirement),1990-09-23 00:00:00,2009-07-12 00:00:00,Retirement,6867,True
432,"Fabre, Hector",Nationalist,Quebec,"Mackenzie, Alexander",1875.02.05 - 1882.07.12  (Resignation),1875-02-05 00:00:00,1882-07-12 00:00:00,Resignation,2714,True
433,"Fafard, Joseph-Fernand",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.01.29 - 1955.05.14  (Death),1940-01-29 00:00:00,1955-05-14 00:00:00,Death,5584,True
434,"Fairbairn, Joyce",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - 2013.01.18  (Resignation),1984-06-29 00:00:00,2013-01-18 00:00:00,Resignation,10430,True
435,"Fallis, Iva Campbell",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1935.07.20 - 1956.03.07  (Death),1935-07-20 00:00:00,1956-03-07 00:00:00,Death,7536,True
436,"Farquhar, Thomas",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1948.09.10 - 1962.09.27  (Resignation),1948-09-10 00:00:00,1962-09-27 00:00:00,Resignation,5130,True
437,"Farrell, Edward Matthew",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1910.01.12 - 1931.08.06  (Death),1910-01-12 00:00:00,1931-08-06 00:00:00,Death,7876,True
438,"Farris, John Wallace de Beque",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1937.01.09 - 1970.02.25  (Death),1937-01-09 00:00:00,1970-02-25 00:00:00,Death,12100,True
439,"Fauteux, Guillaume-André",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1933.12.30 - 1940.09.10  (Death),1933-12-30 00:00:00,1940-09-10 00:00:00,Death,2446,True
440,"Ferguson, Donald",Conservative (1867-1942),Prince Edward Island,"Thompson, John Sparrow David",1893.09.04 - 1909.09.04  (Death),1893-09-04 00:00:00,1909-09-04 00:00:00,Death,5843,True
441,"Ferguson, John",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1888.08.21  (Death),1867-10-23 00:00:00,1888-08-21 00:00:00,Death,7608,True
442,"Ferguson, John",Conservative (1867-1942),Ontario,"Abbott, John Joseph Caldwell",1892.10.01 - 1896.09.22  (Death),1892-10-01 00:00:00,1896-09-22 00:00:00,Death,1452,True
443,"Fergusson, Muriel McQueen",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.05.19 - 1975.05.23  (Resignation),1953-05-19 00:00:00,1975-05-23 00:00:00,Resignation,8039,True
444,"Ferland, Charles-Édouard",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.04.18 - 1951.04.18  (Resignation),1945-04-18 00:00:00,1951-04-18 00:00:00,Resignation,2191,True
445,"Ferretti Barth, Marisa",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",1997.09.22 - 2006.04.28  (Retirement),1997-09-22 00:00:00,2006-04-28 00:00:00,Retirement,3140,True
446,"Ferrier, James",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1888.05.30  (Death),1867-10-23 00:00:00,1888-05-30 00:00:00,Death,7525,True
447,"Finestone, Sheila",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",1999.08.11 - 2002.01.28  (Retirement),1999-08-11 00:00:00,2002-01-28 00:00:00,Retirement,901,True
448,"Finley, Doug",Conservative Party of Canada,Ontario,"Harper, Stephen",2009.08.27 - 2013.05.11  (Death),2009-08-27 00:00:00,2013-05-11 00:00:00,Death,1353,True
449,"Finnerty, Isobel",Liberal Party of Canada,Ontario,"Chrétien, Joseph Jacques Jean",1999.09.02 - 2005.07.15  (Retirement),1999-09-02 00:00:00,2005-07-15 00:00:00,Retirement,2143,True
450,"Fiset, Jean-Baptiste Romuald",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1897.10.20 - 1917.01.05  (Death),1897-10-20 00:00:00,1917-01-05 00:00:00,Death,7016,True
451,"Fisher, John Henry",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.07.26 - 1933.12.01  (Death),1917-07-26 00:00:00,1933-12-01 00:00:00,Death,5972,True
452,"Fitzpatrick, D. Ross",Liberal Party of Canada,British Columbia,"Chrétien, Joseph Jacques Jean",1998.03.06 - 2008.02.04  (Retirement),1998-03-06 00:00:00,2008-02-04 00:00:00,Retirement,3622,True
453,"Flint, Billa",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1894.06.15  (Death),1867-10-23 00:00:00,1894-06-15 00:00:00,Death,9732,True
454,"Flynn, Jacques",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1962.11.09 - 1990.08.22  (Resignation),1962-11-09 00:00:00,1990-08-22 00:00:00,Resignation,10148,True
455,"Fogo, James Gordon",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.01.25 - 1952.07.06  (Death),1949-01-25 00:00:00,1952-07-06 00:00:00,Death,1258,True
456,"Forest, Jean B.",Liberal Party of Canada,Alberta,"Chrétien, Joseph Jacques Jean",1996.05.16 - 1998.08.28  (Resignation),1996-05-16 00:00:00,1998-08-28 00:00:00,Resignation,834,True
457,"Forget, Amédée-Emmanuel",Liberal Party of Canada,Alberta,"Laurier, Wilfrid",1911.05.02 - 1923.06.08  (Death),1911-05-02 00:00:00,1923-06-08 00:00:00,Death,4420,True
458,"Forget, Louis Joseph",Conservative (1867-1942),Quebec,"Tupper, Charles",1896.06.15 - 1911.04.07  (Death),1896-06-15 00:00:00,1911-04-07 00:00:00,Death,5408,True
459,"Forke, Robert",Liberal Progressive,Manitoba,"King, William Lyon Mackenzie",1929.12.30 - 1934.02.02  (Death),1929-12-30 00:00:00,1934-02-02 00:00:00,Death,1495,True
460,"Forrestall, J. Michael",Progressive Conservative Party,Maritimes (Division),"Mulroney, Martin Brian",1990.09.27 - 2006.06.08  (Death),1990-09-27 00:00:00,2006-06-08 00:00:00,Death,5733,True
461,"Forsey, Eugene Alfred",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1970.10.07 - 1979.05.29  (Retirement),1970-10-07 00:00:00,1979-05-29 00:00:00,Retirement,3156,True
462,"Fortier, Michael",Conservative Party of Canada,Quebec,"Harper, Stephen",2006.02.27 - 2008.09.07  (Resignation),2006-02-27 00:00:00,2008-09-07 00:00:00,Resignation,923,True
463,"Fortin, Émile",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.08.14 - 1936.05.18  (Death),1935-08-14 00:00:00,1936-05-18 00:00:00,Death,278,True
464,"Fortin, Pierre",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1887.05.13 - 1888.06.15  (Death),1887-05-13 00:00:00,1888-06-15 00:00:00,Death,399,True
465,"Fortin-Duplessis, Suzanne",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.01.14 -,2009-01-14 00:00:00,2013-10-01 22:20:10.165196,,1721,False
466,"Foster, Asa Belknap",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1876.02.10  (Resignation),1867-10-23 00:00:00,1876-02-10 00:00:00,Resignation,3032,True
467,"Foster, George Eulas",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.09.22 - 1931.12.30  (Death),1921-09-22 00:00:00,1931-12-30 00:00:00,Death,3751,True
468,"Foster, George Green",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.27 - 1931.05.01  (Death),1917-07-27 00:00:00,1931-05-01 00:00:00,Death,5026,True
469,"Foster, Walter Edward",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1928.12.06 - 1947.11.14  (Death),1928-12-06 00:00:00,1947-11-14 00:00:00,Death,6917,True
470,"Fournier, Edgar E.",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1962.09.24 - 1983.02.11  (Resignation),1962-09-24 00:00:00,1983-02-11 00:00:00,Resignation,7445,True
471,"Fournier, Joseph Michel",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1971.12.09 - 1980.09.29  (Retirement),1971-12-09 00:00:00,1980-09-29 00:00:00,Retirement,3217,True
472,"Fournier, Sarto",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1980.07.23  (Death),1953-06-12 00:00:00,1980-07-23 00:00:00,Death,9903,True
473,"Fowler, George William",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1917.06.29 - 1924.09.02  (Death),1917-06-29 00:00:00,1924-09-02 00:00:00,Death,2622,True
474,"Fox, Francis",Liberal Party of Canada,Quebec,"Martin, Paul Edgar Philippe",2005.08.29 - 2011.12.02  (Resignation),2005-08-29 00:00:00,2011-12-02 00:00:00,Resignation,2286,True
475,"Fraser, Joan",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",1998.09.17 -,1998-09-17 00:00:00,2013-10-01 22:20:10.165196,,5493,False
476,"Fraser, William Alexander",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.06.25 - 1962.10.26  (Death),1949-06-25 00:00:00,1962-10-26 00:00:00,Death,4871,True
477,"Fripp, Alfred Ernest",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1933.12.30 - 1938.03.25  (Death),1933-12-30 00:00:00,1938-03-25 00:00:00,Death,1546,True
478,"Frith, Royce Herbert",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1994.08.29  (Resignation),1977-04-05 00:00:00,1994-08-29 00:00:00,Resignation,6355,True
479,"Frost, Francis Theodore",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1903.03.12 - 1916.08.25  (Death),1903-03-12 00:00:00,1916-08-25 00:00:00,Death,4915,True
480,"Frum, Linda",Conservative Party of Canada,Ontario,"Harper, Stephen",2009.08.27 -,2009-08-27 00:00:00,2013-10-01 22:20:10.165196,,1496,False
481,"Fulford, George Taylor",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1900.01.29 - 1905.10.15  (Death),1900-01-29 00:00:00,1905-10-15 00:00:00,Death,2085,True
482,"Furey, George J.",Liberal Party of Canada,Newfoundland and Labrador,"Chrétien, Joseph Jacques Jean",1999.08.11 -,1999-08-11 00:00:00,2013-10-01 22:20:10.165196,,5165,False
483,"Gauthier, Jean-Robert",Liberal Party of Canada,Ontario,"Chrétien, Joseph Jacques Jean",1994.11.23 - 2004.10.22  (Retirement),1994-11-23 00:00:00,2004-10-22 00:00:00,Retirement,3621,True
484,"Gélinas, Louis-Philippe",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.06.11 - 1975.12.10  (Resignation),1963-06-11 00:00:00,1975-12-10 00:00:00,Resignation,4565,True
485,"Gershaw, Frederick William",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1945.04.18 - 1968.03.26  (Resignation),1945-04-18 00:00:00,1968-03-26 00:00:00,Resignation,8378,True
486,"Gerstein, Irving",Conservative Party of Canada,Ontario,"Harper, Stephen",2009.01.02 -,2009-01-02 00:00:00,2013-10-01 22:20:10.165196,,1733,False
487,"Ghitter, Ronald D.",Progressive Conservative Party,Alberta,"Mulroney, Martin Brian",1993.03.25 - 2000.03.31  (Resignation),1993-03-25 00:00:00,2000-03-31 00:00:00,Resignation,2563,True
488,"Gibbs, Thomas Nicholson",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1880.04.03 - 1883.04.07  (Death),1880-04-03 00:00:00,1883-04-07 00:00:00,Death,1099,True
489,"Gibson, William",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1902.02.11 - 1914.05.04  (Death),1902-02-11 00:00:00,1914-05-04 00:00:00,Death,4465,True
490,"Gigantès, Philippe D.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.13 - 1998.08.16  (Retirement),1984-01-13 00:00:00,1998-08-16 00:00:00,Retirement,5329,True
491,"Giguère, Louis de Gonzague",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1968.09.10 - 1986.12.18  (Retirement),1968-09-10 00:00:00,1986-12-18 00:00:00,Retirement,6673,True
492,"Gill, Aurélien",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",1998.09.17 - 2008.08.26  (Retirement),1998-09-17 00:00:00,2008-08-26 00:00:00,Retirement,3631,True
493,"Gillis, Archibald Beaton",Conservative (1867-1942),Saskatchewan,"Meighen, Arthur",1921.10.17 - 1940.01.18  (Death),1921-10-17 00:00:00,1940-01-18 00:00:00,Death,6667,True
494,"Gillmor, Arthur Hill",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1900.04.02 - 1903.04.13  (Death),1900-04-02 00:00:00,1903-04-13 00:00:00,Death,1106,True
495,"Gillmor, Daniel",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1907.01.15 - 1918.02.22  (Death),1907-01-15 00:00:00,1918-02-22 00:00:00,Death,4056,True
496,"Girard, Marc-Amable",Conservative (1867-1942),Manitoba,"Macdonald, John Alexander",1871.12.13 - 1892.09.12  (Death),1871-12-13 00:00:00,1892-09-12 00:00:00,Death,7579,True
497,"Girroir, Edward Lavin",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1932.05.08  (Death),1912-11-20 00:00:00,1932-05-08 00:00:00,Death,7109,True
498,"Gladstone, James",Independent Conservative,Alberta,"Diefenbaker, John George",1958.01.31 - 1971.03.31  (Resignation),1958-01-31 00:00:00,1971-03-31 00:00:00,Resignation,4807,True
499,"Gladstone, Robert William",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.09.07 - 1951.06.01  (Death),1949-09-07 00:00:00,1951-06-01 00:00:00,Death,632,True
500,"Glasier, John",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1894.07.07  (Death),1868-03-14 00:00:00,1894-07-07 00:00:00,Death,9611,True
501,"Godbout, Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1901.04.04 - 1923.04.01  (Death),1901-04-04 00:00:00,1923-04-01 00:00:00,Death,8032,True
502,"Godbout, Joseph Adélard",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1949.06.25 - 1956.09.18  (Death),1949-06-25 00:00:00,1956-09-18 00:00:00,Death,2642,True
503,"Godfrey, John Morrow",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1973.10.05 - 1987.06.28  (Retirement),1973-10-05 00:00:00,1987-06-28 00:00:00,Retirement,5014,True
504,"Goldenberg, Carl H.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1971.11.04 - 1982.10.20  (Retirement),1971-11-04 00:00:00,1982-10-20 00:00:00,Retirement,4003,True
505,"Golding, William Henry",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.06.25 - 1961.12.31  (Death),1949-06-25 00:00:00,1961-12-31 00:00:00,Death,4572,True
506,"Goldstein, Yoine",Liberal Party of Canada,Quebec,"Martin, Paul Edgar Philippe",2005.08.29 - 2009.05.11  (Retirement),2005-08-29 00:00:00,2009-05-11 00:00:00,Retirement,1351,True
507,"Gordon, George",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1912.10.17 - 1942.02.03  (Death),1912-10-17 00:00:00,1942-02-03 00:00:00,Death,10701,True
508,"Gouin, Léon Mercier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.11.07 - 1976.03.18  (Resignation),1940-11-07 00:00:00,1976-03-18 00:00:00,Resignation,12915,True
509,"Gowan, James Robert",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1885.01.29 - 1907.02.25  (Resignation),1885-01-29 00:00:00,1907-02-25 00:00:00,Resignation,8061,True
510,"Grafstein, Jerahmiel S.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - 2010.01.02  (Retirement),1984-01-13 00:00:00,2010-01-02 00:00:00,Retirement,9486,True
511,"Graham, B. Alasdair",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 2004.05.21  (Retirement),1972-04-27 00:00:00,2004-05-21 00:00:00,Retirement,11712,True
512,"Graham, George Perry",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1926.12.20 - 1943.01.01  (Death),1926-12-20 00:00:00,1943-01-01 00:00:00,Death,5856,True
513,"Grant, Robert Patterson",Liberal Party of Canada,Nova Scotia,"Mackenzie, Alexander",1877.02.02 - 1892.11.13  (Death),1877-02-02 00:00:00,1892-11-13 00:00:00,Death,5763,True
514,"Grant, Thomas Vincent",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1949.06.25 - 1965.08.19  (Resignation),1949-06-25 00:00:00,1965-08-19 00:00:00,Resignation,5899,True
515,"Green, Robert Francis",Conservative (1867-1942),British Columbia,"Meighen, Arthur",1921.10.03 - 1946.10.05  (Death),1921-10-03 00:00:00,1946-10-05 00:00:00,Death,9133,True
516,"Greene, John James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.09.01 - 1978.10.23  (Death),1972-09-01 00:00:00,1978-10-23 00:00:00,Death,2243,True
517,"Greene, Stephen",Conservative Party of Canada,Nova Scotia,"Harper, Stephen",2009.01.02 -,2009-01-02 00:00:00,2013-10-01 22:20:10.165196,,1733,False
518,"Griesbach, William Antrobus",Conservative (1867-1942),Alberta,"Meighen, Arthur",1921.09.15 - 1945.01.21  (Death),1921-09-15 00:00:00,1945-01-21 00:00:00,Death,8529,True
519,"Grimard, Normand",Progressive Conservative Party,Quebec (Division),"Mulroney, Martin Brian",1990.09.27 - 2000.06.16  (Retirement),1990-09-27 00:00:00,2000-06-16 00:00:00,Retirement,3550,True
520,"Grosart, Allister, H.G.",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1981.12.13  (Resignation),1962-09-24 00:00:00,1981-12-13 00:00:00,Resignation,7020,True
521,"Guay, Joseph-Phillippe",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1978.03.23 - 1990.10.04  (Retirement),1978-03-23 00:00:00,1990-10-04 00:00:00,Retirement,4578,True
522,"Guévremont, Jean-Baptiste",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1896.06.14  (Resignation),1867-10-23 00:00:00,1896-06-14 00:00:00,Resignation,10462,True
523,"Gustafson, Leonard J.",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian",1993.05.26 - 2008.11.10  (Retirement),1993-05-26 00:00:00,2008-11-10 00:00:00,Retirement,5647,True
524,"Hackett, John Thomas",Progressive Conservative Party,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1956.09.15  (Death),1955-07-28 00:00:00,1956-09-15 00:00:00,Death,415,True
525,"Haidasz, Stanley",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1978.03.23 - 1998.03.04  (Retirement),1978-03-23 00:00:00,1998-03-04 00:00:00,Retirement,7286,True
526,"Haig, James Campbell",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1962.06.15 - 1977.12.29  (Resignation),1962-06-15 00:00:00,1977-12-29 00:00:00,Resignation,5676,True
527,"Haig, John Thomas",Conservative (1867-1942),Manitoba,"Bennett, Richard Bedford",1935.08.14 - 1962.01.17  (Resignation),1935-08-14 00:00:00,1962-01-17 00:00:00,Resignation,9653,True
528,"Hamilton, John",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1882.10.10  (Death),1867-10-23 00:00:00,1882-10-10 00:00:00,Death,5466,True
529,"Hamilton, John",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1887.05.01  (Resignation),1867-10-23 00:00:00,1887-05-01 00:00:00,Resignation,7130,True
530,"Harb, Mac",Liberal Party of Canada,Ontario,"Chrétien, Joseph Jacques Jean",2003.09.09 - 2013.08.26  (Resignation),2003-09-09 00:00:00,2013-08-26 00:00:00,Resignation,3639,True
531,"Hardisty, Richard Charles",Conservative (1867-1942),Northwest Territories,"Macdonald, John Alexander",1888.02.23 - 1889.10.15  (Death),1888-02-23 00:00:00,1889-10-15 00:00:00,Death,600,True
532,"Hardy, Arthur Charles",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.02.10 - 1962.03.13  (Death),1922-02-10 00:00:00,1962-03-13 00:00:00,Death,14641,True
533,"Harmer, William James",Liberal Party of Canada,Alberta,"Borden, Robert Laird",1918.02.05 - 1947.09.09  (Death),1918-02-05 00:00:00,1947-09-09 00:00:00,Death,10808,True
534,"Hastings, Earl Adams",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1996.05.05  (Death),1966-02-24 00:00:00,1996-05-05 00:00:00,Death,11028,True
535,"Hatfield, Paul Lacombe",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1926.10.07 - 1935.01.28  (Death),1926-10-07 00:00:00,1935-01-28 00:00:00,Death,3035,True
536,"Hatfield, Richard Bennett",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1990.09.07 - 1991.04.26  (Death),1990-09-07 00:00:00,1991-04-26 00:00:00,Death,231,True
537,"Haviland, Thomas Heath",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1879.07.01  (Resignation),1873-10-18 00:00:00,1879-07-01 00:00:00,Resignation,2082,True
538,"Hawkins, Charles G.",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1950.05.02 - 1958.08.14  (Death),1950-05-02 00:00:00,1958-08-14 00:00:00,Death,3026,True
539,"Hayden, Salter Adrian",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1983.11.01  (Resignation),1940-02-09 00:00:00,1983-11-01 00:00:00,Resignation,15971,True
540,"Haydon, Andrew",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1924.03.10 - 1932.11.10  (Death),1924-03-10 00:00:00,1932-11-10 00:00:00,Death,3167,True
541,"Hays, Daniel",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - 2007.06.30  (Resignation),1984-06-29 00:00:00,2007-06-30 00:00:00,Resignation,8401,True
542,"Hays, Harry William",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1982.05.04  (Death),1966-02-24 00:00:00,1982-05-04 00:00:00,Death,5913,True
543,"Haythorne, Robert Poore",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1891.05.07  (Death),1873-10-18 00:00:00,1891-05-07 00:00:00,Death,6410,True
544,"Hazen, Robert Leonard",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1874.08.15  (Death),1867-10-23 00:00:00,1874-08-15 00:00:00,Death,2488,True
545,"Hébert, Jacques",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1983.04.20 - 1998.06.21  (Retirement),1983-04-20 00:00:00,1998-06-21 00:00:00,Retirement,5541,True
546,"Hervieux-Payette, Céline",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",1995.03.21 -,1995-03-21 00:00:00,2013-10-01 22:20:10.165196,,6769,False
547,"Hicks, Henry Davies",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 1990.03.05  (Retirement),1972-04-27 00:00:00,1990-03-05 00:00:00,Retirement,6521,True
548,"Higgins, John Gilbert",Progressive Conservative Party,Newfoundland and Labrador,"Diefenbaker, John George",1959.01.15 - 1963.07.01  (Death),1959-01-15 00:00:00,1963-07-01 00:00:00,Death,1628,True
549,"Hingston, William Hales",Conservative (1867-1942),Quebec,"Bowell, Mackenzie",1896.01.02 - 1907.02.19  (Death),1896-01-02 00:00:00,1907-02-19 00:00:00,Death,4065,True
550,"Hnatyshyn, John",Progressive Conservative Party,Saskatchewan,"Diefenbaker, John George",1959.01.15 - 1967.05.02  (Death),1959-01-15 00:00:00,1967-05-02 00:00:00,Death,3029,True
551,"Hocken, Horatio Clarence",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1933.12.30 - 1937.02.18  (Death),1933-12-30 00:00:00,1937-02-18 00:00:00,Death,1146,True
552,"Hodges, Nancy",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1953.11.05 - 1965.06.12  (Resignation),1953-11-05 00:00:00,1965-06-12 00:00:00,Resignation,4237,True
553,"Hollett, Malcolm Mercer",Progressive Conservative Party,Newfoundland and Labrador,"Diefenbaker, John George",1961.10.06 - 1971.03.31  (Resignation),1961-10-06 00:00:00,1971-03-31 00:00:00,Resignation,3463,True
554,"Holmes, John",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1876.06.03  (Death),1867-10-23 00:00:00,1876-06-03 00:00:00,Death,3146,True
555,"Hope, Adam",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1877.01.03 - 1882.08.07  (Death),1877-01-03 00:00:00,1882-08-07 00:00:00,Death,2042,True
556,"Horner, Ralph Byron",Conservative (1867-1942),Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1964.12.14  (Death),1933-12-30 00:00:00,1964-12-14 00:00:00,Death,11307,True
557,"Horsey, Henry Herbert",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.12.14 - 1942.01.06  (Death),1928-12-14 00:00:00,1942-01-06 00:00:00,Death,4771,True
558,"Housakos, Leo",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.01.08 -,2009-01-08 00:00:00,2013-10-01 22:20:10.165196,,1727,False
559,"Howard, Charles Benjamin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1964.03.25  (Death),1940-02-09 00:00:00,1964-03-25 00:00:00,Death,8811,True
560,"Howden, John Power",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1959.11.04  (Death),1945-04-18 00:00:00,1959-11-04 00:00:00,Death,5313,True
